Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Approval Date,Department,Vendor Name,Vendor ID,Address 1,City,State,Zip,Award Amount
27900,10,101361,CONSTRUCTION-GENERAL,1/11/17,CHICAGO DEPARTMENT OF TRANSPORTATION,MQ SEWER & WATER CONTRACTORS,93441467T,C. D/B/A MQ CONSTRUCTION CO,CHICAGO,IL,60634,"$11,162,833.90 "
33399,1,126271,CONSTRUCTION-LARGE $3MILLIONorABOVE,1/4/16,DEPARTMENT OF WATER MANAGEMENT,BENCHMARK CONSTRUCTION CO. INC,22360848V,3349 S KEDZIE AVENUE EFT,CHICAGO,IL,60623,"$3,638,190.00 "
32639,10,131388,CONSTRUCTION-AVIATION,1/7/16,DEPT OF AVIATION,"PLOTE CONSTRUCTION, INC / K-FIVE CONSTRUCTION CORP. JOINT VENTURE",23353679E,1100 BRANDT DR,HOFFMAN ESTATES,IL,60120,"$1,767,853.00 "
28208,11,109057,CONSTRUCTION-LARGE $3MILLIONorABOVE,12/1/16,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$738,524.20 "
32644,3,129423,CONSTRUCTION-AVIATION,3/2/16,DEPT OF AVIATION,"BLINDERMAN CONSTRUCTION COMPANY, INC.",38785860Z,8501 W HIGGINS RD STE 320,CHICAGO,IL,60631,"$703,573.10 "
15167,75,38401,CONSTRUCTION-LARGE $3MILLIONorABOVE,3/1/16,CHICAGO DEPARTMENT OF TRANSPORTATION,WALSH CONSTRUCTION COMPANY OF ILL,15792481T,929 W ADAMS STREET EFT,CHICAGO,IL,60607,"$700,000.00 "
29858,50,119473,CONSTRUCTION-AVIATION,8/4/16,OHARE MODERNIZATION PROJECT,DIVANE BROTHERS. ELECTRIC CO.,22547883T,2424 N 25TH AVE,FRANKLIN PARK,IL,60131-3387,"$534,969.70 "
29396,8,118720,CONSTRUCTION-AVIATION,1/7/16,DEPT OF AVIATION,ASBACH & VANSELOW INC,93516810P,1000 BROWN STREET EFT,WAUCONDA,IL,60084,"$512,018.70 "
23954,117,24508A,CONSTRUCTION-GENERAL,11/2/16,CHICAGO DEPARTMENT OF TRANSPORTATION,WALSH CONSTRUCTION COMPANY OF ILL,15792481T,929 W ADAMS STREET EFT,CHICAGO,IL,60607,"$510,658.60 "
30263,20,120434,CONSTRUCTION-AVIATION,4/12/16,OHARE MODERNIZATION PROJECT,DIVANE BROTHERS. ELECTRIC CO.,22547883T,2424 N 25TH AVE,FRANKLIN PARK,IL,60131-3387,"$403,905.70 "
29858,47,119473,CONSTRUCTION-AVIATION,3/4/16,OHARE MODERNIZATION PROJECT,DIVANE BROTHERS. ELECTRIC CO.,22547883T,2424 N 25TH AVE,FRANKLIN PARK,IL,60131-3387,"$398,556.50 "
32645,9,129444,CONSTRUCTION-AVIATION,8/9/16,DEPT OF AVIATION,"BLINDERMAN CONSTRUCTION COMPANY, INC.",38785860Z,8501 W HIGGINS RD STE 320,CHICAGO,IL,60631,"$394,269.70 "
32926,3,120969,CONSTRUCTION-LARGE $3MILLIONorABOVE,8/1/16,DEPARTMENT OF WATER MANAGEMENT,MQ SEWER & WATER CONTRACTORS,93441467T,C. D/B/A MQ CONSTRUCTION CO,CHICAGO,IL,60634,"$392,141.00 "
23813,114,86769,CONSTRUCTION-LARGE $3MILLIONorABOVE,9/9/16,CHICAGO DEPARTMENT OF TRANSPORTATION,JAMES P MCHUGH CONSTRUCTION CO,93534373Z,1737 S MICHIGAN AVENUE EFT,CHICAGO,IL,60616,"$388,683.90 "
31489,2,127398,DELEGATE AGENCY,1/12/16,DEPT OF FAMILY AND SUPPORT SERVICES,SINGLE ROOM HOUSING ASSISTANCE CORPORATION,94235511L,PLAZA ARMS,CHICAGO,IL,60644,"$315,430.00 "
29914,11,118256,CONSTRUCTION-GENERAL,10/4/16,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$305,520.30 "
32639,32,131388,CONSTRUCTION-AVIATION,8/12/16,DEPT OF AVIATION,"PLOTE CONSTRUCTION, INC / K-FIVE CONSTRUCTION CORP. JOINT VENTURE",23353679E,1100 BRANDT DR,HOFFMAN ESTATES,IL,60120,"$294,706.20 "
32890,8,129445,CONSTRUCTION-AVIATION,11/7/16,DEPT OF AVIATION,ASBACH & VANSELOW INC,93516810P,1000 BROWN STREET EFT,WAUCONDA,IL,60084,"$281,440.50 "
29858,48,119473,CONSTRUCTION-AVIATION,6/3/16,OHARE MODERNIZATION PROJECT,DIVANE BROTHERS. ELECTRIC CO.,22547883T,2424 N 25TH AVE,FRANKLIN PARK,IL,60131-3387,"$256,894.20 "
26614,3,96650,CONSTRUCTION-GENERAL,5/6/16,CHICAGO DEPARTMENT OF TRANSPORTATION,G & V CONSTRUCTION CO INC,90506630P,371 S EVERGREEN STREET EFT,BENSENVILLE,IL,60106,"$251,938.50 "
30011,10,116466,CONSTRUCTION-AVIATION,6/10/16,DEPT OF AVIATION,"R. COMMERCIAL ROOFING SOLUTIONS, LLC.",88397218L,4552 W PATTERSON AVE,CHICAGO,IL,60641,"$251,511.50 "
5024,22,13876,CONSTRUCTION-LARGE $3MILLIONorABOVE,4/6/17,CHICAGO DEPARTMENT OF TRANSPORTATION,ALL CONCRETE CONSTRUCTION INC,22244828M,7000 FRONTAGE RD,,IL,60521,"$239,723.10 "
29578,8,116349,CONSTRUCTION-GENERAL,11/4/16,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$239,599.20 "
31108,5,126015,CONSTRUCTION-AVIATION,1/7/16,DEPT OF AVIATION,"BLINDERMAN CONSTRUCTION COMPANY, INC.",38785860Z,8501 W HIGGINS RD STE 320,CHICAGO,IL,60631,"$224,532.00 "
32639,25,131388,CONSTRUCTION-AVIATION,4/5/16,DEPT OF AVIATION,"PLOTE CONSTRUCTION, INC / K-FIVE CONSTRUCTION CORP. JOINT VENTURE",23353679E,1100 BRANDT DR,HOFFMAN ESTATES,IL,60120,"$209,251.90 "
31202,3,129369,DELEGATE AGENCY,3/3/17,DEPT OF FAMILY AND SUPPORT SERVICES,SAN JOSE OBRERO MISSION,19471011E,1856 S LOOMIS ST,CHICAGO,IL,60608,"$199,203.00 "
