DOCKET NUMBER,NOV NUMBER,ADDRESS,STREET NUMBER,STREET DIRECTION,STREET NAME,STREET TYPE,WARD,ISSUING DEPARTMENT,HEARING DATE,CASE DISPOSITION,IMPOSED FINE,ADMIN COSTS,VIOLATION CODE
16BT03980A,16EVA488829,417 S DEARBORN ST,417,S,DEARBORN,ST,4,Buildings,4/3/17,Continuance,"$50,000 ",$0 ,241001
16BT03980A,16EVA488829,417 S DEARBORN ST,417,S,DEARBORN,ST,4,Buildings,4/3/17,Continuance,"$50,000 ",$0 ,241000
16BT04388A,16DR491206,7149 S HONORE ST,7149,S,HONORE,ST,17,Buildings,5/12/17,Continuance,"$50,000 ",$0 ,193000
16BT04388A,16DR491206,7149 S HONORE ST,7149,S,HONORE,ST,17,Buildings,5/12/17,Continuance,"$50,000 ",$0 ,3032
16BT04388A,16DR491206,7149 S HONORE ST,7149,S,HONORE,ST,17,Buildings,5/12/17,Continuance,"$50,000 ",$0 ,2052
16BT04388A,16DR491206,7149 S HONORE ST,7149,S,HONORE,ST,17,Buildings,5/12/17,Continuance,"$50,000 ",$0 ,193019
16BT04388A,16DR491206,7149 S HONORE ST,7149,S,HONORE,ST,17,Buildings,5/12/17,Continuance,"$50,000 ",$0 ,193029
16BT04388A,16DR491206,7149 S HONORE ST,7149,S,HONORE,ST,17,Buildings,5/12/17,Continuance,"$50,000 ",$0 ,196039
17BT00281A,16DR503868,5750 S MARSHFIELD AVE,5750,S,MARSHFIELD,AVE,16,Buildings,3/2/17,Default,"$50,000 ",$40 ,2052
17BT00281A,16DR503868,5750 S MARSHFIELD AVE,5750,S,MARSHFIELD,AVE,16,Buildings,3/2/17,Default,"$50,000 ",$40 ,3032
17BT00281A,16DR503868,5750 S MARSHFIELD AVE,5750,S,MARSHFIELD,AVE,16,Buildings,3/2/17,Default,"$50,000 ",$40 ,193029
17BT00281A,16DR503868,5750 S MARSHFIELD AVE,5750,S,MARSHFIELD,AVE,16,Buildings,3/2/17,Default,"$50,000 ",$40 ,193019
17BT00281A,16DR503868,5750 S MARSHFIELD AVE,5750,S,MARSHFIELD,AVE,16,Buildings,3/2/17,Default,"$50,000 ",$40 ,193000
17BT00281A,16DR503868,5750 S MARSHFIELD AVE,5750,S,MARSHFIELD,AVE,16,Buildings,3/2/17,Default,"$50,000 ",$40 ,196039
16BT06520A,16DR0502030,5742 S LOOMIS BLVD,5742,S,LOOMIS,BLVD,16,Buildings,2/9/17,Default,"$50,000 ",$40 ,3032
16BT06520A,16DR0502030,5742 S LOOMIS BLVD,5742,S,LOOMIS,BLVD,16,Buildings,2/9/17,Default,"$50,000 ",$40 ,193029
16BT06403A,16DR501615,2009 W 21ST ST,2009,W,21ST,ST,25,Buildings,2/9/17,Default,"$50,000 ",$40 ,3032
16BT06520A,16DR0502030,5742 S LOOMIS BLVD,5742,S,LOOMIS,BLVD,16,Buildings,2/9/17,Default,"$50,000 ",$40 ,193019
16BT06403A,16DR501615,2009 W 21ST ST,2009,W,21ST,ST,25,Buildings,2/9/17,Default,"$50,000 ",$40 ,193029
16BT06403A,16DR501615,2009 W 21ST ST,2009,W,21ST,ST,25,Buildings,2/9/17,Default,"$50,000 ",$40 ,196039
16BT06403A,16DR501615,2009 W 21ST ST,2009,W,21ST,ST,25,Buildings,2/9/17,Default,"$50,000 ",$40 ,2052
16BT06403A,16DR501615,2009 W 21ST ST,2009,W,21ST,ST,25,Buildings,2/9/17,Default,"$50,000 ",$40 ,193000
16BT06520A,16DR0502030,5742 S LOOMIS BLVD,5742,S,LOOMIS,BLVD,16,Buildings,2/9/17,Default,"$50,000 ",$40 ,196039
16BT06403A,16DR501615,2009 W 21ST ST,2009,W,21ST,ST,25,Buildings,2/9/17,Default,"$50,000 ",$40 ,193019
16BT06520A,16DR0502030,5742 S LOOMIS BLVD,5742,S,LOOMIS,BLVD,16,Buildings,2/9/17,Default,"$50,000 ",$40 ,193000
16BT06520A,16DR0502030,5742 S LOOMIS BLVD,5742,S,LOOMIS,BLVD,16,Buildings,2/9/17,Default,"$50,000 ",$40 ,2052
16BT03094A,16DR0484206,7839 S TRUMBULL AVE,7839,S,TRUMBULL,AVE,18,Buildings,2/9/17,Default,"$43,000 ",$40 ,3032
16BT03094A,16DR0484206,7839 S TRUMBULL AVE,7839,S,TRUMBULL,AVE,18,Buildings,2/9/17,Default,"$43,000 ",$40 ,193029
16BT03094A,16DR0484206,7839 S TRUMBULL AVE,7839,S,TRUMBULL,AVE,18,Buildings,2/9/17,Default,"$43,000 ",$40 ,193000
16BT03094A,16DR0484206,7839 S TRUMBULL AVE,7839,S,TRUMBULL,AVE,18,Buildings,2/9/17,Default,"$43,000 ",$40 ,196039
16BT03094A,16DR0484206,7839 S TRUMBULL AVE,7839,S,TRUMBULL,AVE,18,Buildings,2/9/17,Default,"$43,000 ",$40 ,2052
16BT03094A,16DR0484206,7839 S TRUMBULL AVE,7839,S,TRUMBULL,AVE,18,Buildings,2/9/17,Default,"$43,000 ",$40 ,193019
16BT05946A,16L0496768,4419 W DIVERSEY AVE,4419,W,DIVERSEY,AVE,31,Buildings,3/10/17,Default,"$12,750 ",$40 ,220096
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,105015
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,190019
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,103015
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,106015
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,132046
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,61014
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,64014
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,197087
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,61034
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,101015
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,62014
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,196029
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,70024
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,197039
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,79014
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,65014
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,65034
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,15062
16BT03616A,16S0483839,7817 S CORNELL AVE,7817,S,CORNELL,AVE,8,Buildings,6/8/17,Default,"$9,500 ",$0 ,140016
17BT00189A,16S0501748,7800 S SOUTH SHORE DR,7800,S,SOUTH SHORE,DR,7,Buildings,3/7/17,Default,"$9,500 ",$40 ,73024
